1
24-4
False,0
False,0
22,34
-1,-1,-1,-1,-1,-1,-1,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,5,5,5,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,5,5,5,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,4,4,5,5,5,5,5,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,4,4,4,5,6,5,5,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,4,4,4,5,5,5,5,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,4,4,5,5,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,5,5,5,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,0,0,0,0,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1
-1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1
0,0,1,1,1,1,2,2,2,2,2,1,1,1,0,-1,-1,-1,-1,-1,-1,-1
0,1,1,1,1,2,2,2,2,2,2,2,1,1,0,-1,-1,-1,-1,-1,-1,-1
0,1,1,2,2,2,2,2,2,2,3,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1
-1,1,1,2,2,2,2,2,2,2,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,5,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,4,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,5,4,4,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,5,5,5,5,5,4,4,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,5,6,5,5,4,4,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,5,5,5,5,5,4,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,5,5,0,0,0,0,0,0,0,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,5,0,0,0,0,0,0,0,0,0,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,1,1,1,1,1,1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
-1,-1,-1,-1,-1,-1,-1,0,0,1,1,1,1,2,2,2,2,2,1,1,1,0
-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,2,2,2,2,2,2,2,1,1,0
-1,-1,-1,-1,-1,-1,-1,0,1,1,2,2,2,2,2,2,2,3,2,1,1,-1
-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,2,2,2,2,2,2,1,1,-1,-1
0.3843138,0.5921569,0.1411765
0.4745098,0.7372549,0.1686275
0.764706,0.9450981,0.08235294
0.9843138,0.9529412,0
0.9882354,0.4431373,0.07058824
0.6039216,0.2392157,0.1372549
0.4509804,0.1372549,0.01176471
