1
10005-36
fantasy,
Ads
61,37
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,8,8,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,8,8,8,8,8,8,8,8,8,8,5,5,4,5,4,4,4,4,3,4,4,4,3,3,4,3,3,3,3,3,3,3,3,8,8,8,8,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,9,-1,-1,-1
-1,8,8,8,8,8,8,8,8,8,8,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,8,8,9,9,9,9,8,8,3,3,3,3,3,3,3,3,8,8,9,9,-1
8,8,8,8,8,8,8,8,8,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,4,4,9,9,9,9,5,5,5,5,4,4,3,3,3,3,8,9,9,9
9,9,9,9,8,8,8,8,5,5,5,5,4,4,4,4,3,4,3,3,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,2,4,4,5,9,9,9,5,5,5,5,4,4,3,3,2,3,3,9,9,9
-1,9,9,9,9,9,9,9,5,5,5,4,4,4,4,3,4,3,3,3,5,2,2,5,4,4,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,5,5,6,9,9,9,9,5,5,4,4,3,3,2,2,2,2,9,9,9
-1,-1,-1,-1,9,9,9,9,5,5,4,4,4,4,3,4,3,3,3,5,2,2,2,2,5,4,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,6,6,9,9,9,9,9,5,5,4,4,3,3,2,2,1,2,9,9,-1
-1,-1,-1,-1,-1,-1,-1,-1,5,4,4,4,4,3,4,3,3,3,3,2,2,2,2,2,2,5,4,2,2,2,2,1,1,1,1,1,10,10,10,1,1,9,9,9,9,9,9,9,9,4,4,3,3,2,2,2,2,2,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,5,4,4,4,4,3,4,3,3,3,3,5,2,10,10,1,2,2,5,2,2,2,1,1,1,1,1,10,0,10,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,4,4,3,3,2,2,2,1,2,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4,4,4,3,4,3,3,3,3,2,1,10,10,1,1,2,2,2,2,1,1,1,1,1,10,0,10,1,1,1,4,4,-1,-1,-1,-1,-1,-1,-1,4,3,3,2,2,2,2,1,2,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4,4,4,3,4,3,3,3,3,3,1,1,10,0,1,1,2,2,2,1,1,1,1,10,0,10,1,1,1,4,4,5,-1,-1,-1,-1,-1,-1,-1,-1,3,3,2,2,2,1,1,2,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,3,3,5,4,4,4,3,4,3,3,3,3,1,1,1,10,0,1,1,2,2,1,1,1,1,10,10,10,1,1,1,5,5,6,-1,-1,-1,-1,-1,-1,-1,-1,3,2,2,2,2,4,6,2,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,3,3,3,5,5,4,4,4,3,4,3,3,3,3,1,1,1,10,1,1,1,2,1,1,1,1,1,1,1,1,1,6,6,6,-1,-1,-1,-1,-1,-1,-1,-1,3,3,2,2,2,4,5,6,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,3,3,2,2,3,5,5,4,4,4,4,4,3,3,3,3,1,1,1,1,1,1,1,1,1,1,10,0,1,1,1,1,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,2,2,4,5,6,6,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,3,2,2,2,2,3,5,5,4,4,4,4,4,4,4,3,3,1,1,1,1,1,1,1,1,10,0,10,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,2,1,6,6,6,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,3,2,1,1,2,2,3,3,5,5,5,4,4,4,4,4,4,4,3,1,1,1,1,1,1,1,10,10,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,2,1,1,1,1,2,-1,-1,-1,-1,-1
