1
10006-38
fashion,
Ads
40,41
-1,-1,-1,-1,3,4,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,4,4,5,5,-1,-1,-1,-1,-1,3,3,4,4,5,5,-1,-1,-1
-1,-1,-1,3,4,4,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,4,2,2,4,5,-1,-1,-1,4,5,4,4,2,2,4,5,-1,-1
-1,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,5,4,2,1,2,2,5,2,1,2,2,2,4,2,1,2,2,5,3,-1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,0,1,1,2,5,2,1,1,2,2,5,0,1,1,2,5,2,-1
0,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,3,3,5,0,0,1,2,5,7,7,6,13,13,5,0,0,1,2,5,2,-1
0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,3,3,5,4,1,2,4,5,7,13,6,12,12,5,4,1,2,4,5,2,-1
0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,2,2,2,3,3,12,5,5,5,5,7,7,13,13,12,12,7,5,5,5,5,6,2,-1
-1,10,10,10,0,1,1,1,1,2,2,2,2,2,2,10,10,10,3,12,12,12,12,7,7,7,7,13,13,13,12,12,12,7,7,7,7,6,-1,-1
10,11,11,10,10,1,4,1,4,1,4,2,4,2,10,11,11,10,10,12,12,12,12,12,12,12,13,13,13,13,12,12,12,12,13,13,13,7,5,-1
11,11,11,11,10,0,4,1,4,1,4,1,4,2,11,11,11,11,10,13,12,12,12,12,12,13,13,13,13,13,13,12,12,12,12,13,7,7,5,5
11,11,11,11,10,0,4,0,4,1,4,1,4,2,11,11,11,11,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,7,7,6,6,6,5,5
-1,11,11,10,13,0,4,0,4,0,4,1,4,2,7,11,11,10,13,13,13,13,13,13,12,13,13,13,13,3,13,7,13,13,7,7,6,6,4,5
-1,-1,-1,12,12,13,0,0,0,0,1,2,2,7,7,13,12,12,12,13,13,13,13,13,12,13,13,13,13,3,3,7,13,13,7,7,7,6,4,5
-1,-1,-1,-1,12,12,12,12,12,12,12,12,13,13,7,7,13,12,12,12,12,13,13,13,12,12,12,12,13,13,13,7,13,13,7,7,7,6,4,4
-1,-1,-1,-1,-1,-1,-1,12,14,14,16,14,15,15,15,15,15,15,15,15,15,15,12,13,15,15,15,15,15,15,15,6,16,16,16,16,16,6,4,-1
-1,-1,-1,-1,-1,-1,-1,12,14,14,14,15,14,15,15,15,15,15,15,15,15,15,12,13,15,15,15,15,15,15,15,6,16,16,16,16,16,6,-1,-1
-1,-1,-1,-1,-1,-1,-1,12,16,14,14,14,15,14,15,15,15,15,15,16,15,15,12,13,14,15,15,15,15,15,15,6,16,16,16,16,16,7,-1,-1
-1,-1,-1,-1,-1,-1,-1,12,16,16,14,14,16,15,14,15,15,15,16,16,16,15,12,13,14,14,16,15,15,15,16,6,16,16,16,16,16,7,-1,-1
-1,-1,-1,-1,-1,-1,-1,12,0,0,1,1,1,1,1,1,1,1,1,2,3,3,12,13,14,14,14,16,16,16,16,7,14,16,16,16,7,6,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,1,1,1,1,1,2,3,13,13,15,14,14,14,16,16,16,7,16,14,16,7,6,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,12,12,12,12,12,13,13,13,13,13,7,6,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,13,8,12,13,8,-1,12,13,13,9,12,13,13,7,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,9,12,9,8,-1,-1,12,9,9,12,12,8,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,8,8,8,10,10,9,9,-1,-1,-1,9,10,9,12,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,8,8,10,10,9,-1,-1,-1,10,10,10,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,8,9,9,8,9,8,10,10,9,-1,-1,-1,10,10,9,9,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,10,9,9,9,9,8,10,9,9,-1,-1,-1,10,9,9,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,9,9,8,10,10,9,8,-1,-1,-1,10,9,9,10,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,4,10,10,4,10,10,8,-1,-1,-1,10,10,10,10,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,11,10,10,10,8,8,-1,-1,-1,10,10,9,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,11,11,10,10,8,9,8,8,8,10,9,9,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
