1
10006-43
fashion,
Ads
34,36
-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,-1,-1,-1
-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,-1,-1
-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1
-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1
-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1
-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1
-1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,5,-1
2,3,3,3,0,0,7,7,7,7,7,7,7,7,7,7,7,7,10,10,9,10,10,10,9,9,9,9,1,1,5,5,5,5
2,3,3,3,0,0,7,7,7,0,0,0,0,0,0,0,0,0,10,10,10,10,10,9,9,9,9,9,1,1,4,4,5,5
2,3,3,3,0,0,7,7,7,7,7,0,0,0,0,0,0,0,0,10,10,10,1,1,2,9,9,9,1,1,4,4,4,5
2,3,3,5,0,0,7,7,0,0,7,7,0,0,0,0,0,0,0,7,7,7,1,2,2,2,7,7,1,1,5,4,4,5
2,3,3,5,1,1,8,1,1,1,1,8,8,8,1,1,1,1,8,8,8,2,2,2,2,2,8,8,2,2,5,4,4,5
2,3,3,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,5
2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5
2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5
-1,0,0,1,1,1,1,1,1,1,1,1,10,10,10,11,11,11,7,7,7,1,1,1,1,1,1,2,2,2,2,2,2,-1
-1,0,0,1,1,1,1,1,1,1,1,1,10,10,10,11,11,11,7,7,7,1,1,1,1,1,1,1,1,2,2,2,2,-1
-1,0,0,1,1,1,1,1,1,1,1,1,10,9,9,2,2,2,8,8,8,1,1,1,1,1,1,1,1,1,2,2,2,-1
-1,0,0,1,1,1,1,1,1,1,1,1,9,6,6,6,5,5,5,5,8,2,2,1,1,1,1,1,1,1,1,2,2,-1
-1,0,0,1,1,1,1,1,1,1,1,2,6,6,6,6,6,6,5,5,5,4,2,2,5,5,1,1,1,1,1,2,2,-1
-1,0,0,1,1,1,1,1,1,1,2,6,6,6,6,5,5,5,5,5,5,5,4,2,6,5,1,1,1,1,1,2,2,-1
-1,0,0,1,1,1,1,1,1,1,6,6,6,6,7,7,7,8,8,6,5,5,5,2,2,1,1,1,1,1,1,2,2,-1
-1,0,0,1,1,1,1,1,1,2,6,6,6,7,0,0,7,7,7,8,6,5,5,4,2,1,1,1,1,1,1,2,2,-1
-1,0,0,1,1,1,1,1,1,6,6,6,7,0,7,8,8,8,7,7,8,5,5,5,2,1,1,1,1,1,1,2,2,-1
-1,0,0,1,2,2,2,2,1,6,6,5,7,0,8,8,8,8,8,0,8,6,5,5,2,1,1,1,1,1,1,2,2,-1
-1,0,0,8,8,8,8,2,1,6,6,5,7,7,8,8,8,8,8,7,7,6,5,5,2,1,1,1,1,1,1,2,2,-1
-1,0,0,7,7,8,8,2,1,6,6,5,8,7,8,8,8,8,0,0,7,6,5,5,2,1,1,1,1,1,1,2,2,-1
-1,0,0,7,0,7,8,2,1,6,6,6,8,7,7,8,0,0,0,0,7,5,5,5,1,1,1,1,2,2,2,2,2,-1
-1,0,0,7,7,7,8,2,1,2,6,6,6,8,7,7,0,0,0,7,6,5,5,2,1,1,1,8,7,7,8,8,2,-1
-1,0,0,8,7,0,7,2,1,1,6,6,6,6,8,8,8,8,7,6,5,5,5,1,1,1,0,7,0,7,7,8,2,-1
-1,0,0,8,0,0,7,2,1,1,2,6,6,6,6,5,5,5,5,5,5,5,2,1,1,1,0,7,7,7,0,7,2,-1
-1,2,0,8,8,7,7,2,1,1,1,2,6,6,6,6,6,6,5,5,5,2,1,1,1,1,0,8,7,0,0,7,4,-1
-1,2,0,8,8,8,8,1,1,1,1,1,1,2,6,6,6,6,6,2,1,1,1,1,1,1,0,8,8,7,7,8,4,-1
-1,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2,4,-1
-1,-1,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,4,-1,-1
0.9450981,0.9058824,0.8078432
0.9137256,0.8196079,0.654902
0.8078432,0.627451,0.5450981
0.7254902,0.4313726,0.3058824
0.5176471,0.2901961,0.3294118
0.2313726,0.2666667,0.4039216
0.3529412,0.4078432,0.5333334
0.4627451,0.8196079,0.9568628
0.09803922,0.6980392,1
0.8941177,0.2745098,0.3882353
0.9647059,0.4431373,0.4666667
1,0.9058824,0.3647059
