1
20001-26
Farm,
Free
10,16
-1,-1,-1,4,4,4,4,-1,-1,-1
-1,-1,7,6,6,4,4,4,-1,-1
-1,7,6,5,5,6,5,4,4,-1
-1,6,6,5,5,5,5,5,4,-1
-1,7,6,5,5,5,5,5,4,-1
-1,-1,7,6,5,5,5,4,-1,-1
-1,-1,-1,7,6,5,5,-1,-1,-1
-1,-1,-1,-1,5,4,-1,-1,-1,-1
-1,-1,-1,7,5,7,7,-1,-1,-1
-1,-1,-1,-1,3,8,-1,-1,-1,-1
-1,-1,-1,-1,8,-1,-1,-1,-1,-1
-1,-1,-1,8,-1,8,-1,-1,-1,-1
-1,2,8,-1,-1,-1,8,2,2,-1
1,2,2,-1,-1,-1,1,1,2,2
0,1,2,-1,-1,-1,0,1,1,2
-1,-1,-1,-1,-1,-1,0,0,-1,-1
0.9764706,1,1
0.6313726,1,1
0.3215686,0.9882354,1
0.1333333,0.5058824,0.01568628
0.2156863,0.3098039,0.6
0.2470588,0.372549,0.7490196
0.3137255,0.4745098,0.8862746
0.6,0.7058824,0.937255
0.2901961,0.8588236,0.172549
