1
20001-12
Farm,
Free
13,19
-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,3,4,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,3,5,5,3,-1,-1,-1,-1,-1
-1,-1,-1,3,5,4,5,4,3,-1,-1,-1,-1
-1,-1,-1,5,4,-1,5,-1,4,3,-1,-1,-1
-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,0,4,0,0,-1,-1,-1,-1
-1,-1,-1,0,6,6,0,6,6,0,-1,-1,-1
-1,0,0,0,6,6,0,6,6,0,0,0,-1
0,6,6,0,6,2,2,2,6,0,6,6,0
0,6,6,6,2,2,2,2,2,6,6,6,0
0,0,6,2,1,1,1,2,2,2,6,0,0
-1,0,0,2,1,2,1,1,2,2,0,0,-1
0,0,6,1,1,1,2,1,2,2,6,0,0
0,6,6,6,2,1,1,1,2,6,6,6,0
0,6,6,0,6,1,2,1,6,0,6,6,-1
-1,0,0,0,6,6,0,6,6,0,0,0,-1
-1,-1,-1,0,6,6,0,6,6,0,-1,-1,-1
-1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,-1
0.9215687,0.6627451,0.2117647
0.6470588,0.3960785,0.2117647
0.5058824,0.2745098,0.1529412
0.0509804,0.2392157,0.003921569
0.1921569,0.5882353,0.07450981
0.2941177,0.7294118,0.07450981
1,0.8745099,0.2078432
