1
20001-3
Farm,
Free
10,18
-1,-1,-1,6,6,-1,-1,-1,-1,-1
-1,-1,6,9,8,6,-1,-1,-1,-1
-1,-1,6,9,8,7,6,-1,-1,-1
-1,-1,6,9,8,7,6,6,-1,-1
-1,-1,6,9,8,7,7,6,-1,-1
-1,6,6,8,7,7,7,6,-1,-1
-1,6,8,8,8,8,9,6,-1,-1
-1,6,7,7,7,9,7,6,-1,-1
-1,-1,6,6,0,7,6,-1,-1,-1
-1,-1,-1,-1,1,0,-1,-1,-1,-1
-1,-1,-1,5,2,2,0,1,5,-1
-1,-1,5,0,3,1,1,2,0,5
-1,5,0,1,1,3,3,1,2,1
5,0,1,3,2,1,3,2,1,2
5,1,3,3,2,1,1,3,1,0
0,0,3,4,4,2,2,1,3,0
-1,-1,0,3,3,4,2,0,0,-1
-1,-1,-1,0,0,0,0,-1,-1,-1
0.1137255,0.4627451,0.09803922
0.1921569,0.5882353,0.07450981
0.2745098,0.6745098,0.05882353
0.2941177,0.7294118,0.07450981
0.3647059,0.7843138,0.07058824
0.0509804,0.2392157,0.003921569
0.7529413,0.282353,0.09411766
0.9568628,0.4039216,0.1686275
1,0.4784314,0.2078432
0.9921569,0.5686275,0.3490196
