1
20001-24
Farm,
Ads
12,15
-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,2,5,2,-1,-1,-1,-1,-1
-1,-1,-1,2,3,5,4,2,-1,-1,-1,-1
-1,-1,2,3,5,4,5,5,2,-1,-1,-1
-1,2,3,6,5,2,4,3,5,2,-1,-1
2,5,6,5,2,7,8,4,6,2,-1,-1
-1,2,5,2,7,8,7,3,5,2,-1,-1
-1,-1,2,7,8,7,8,5,6,5,3,3
-1,-1,0,8,7,8,7,8,5,4,3,-1
-1,-1,0,7,8,7,8,7,3,3,3,-1
-1,-1,0,8,7,8,7,8,0,-1,-1,-1
-1,-1,-1,0,8,7,8,0,-1,-1,-1,-1
-1,-1,-1,0,7,8,0,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1
0.5176471,0.3529412,0.1294118
0.172549,0.1176471,0.003921569
0.0509804,0.2392157,0.003921569
0.1019608,0.3529412,0.01176471
0.1254902,0.4431373,0.007843138
0.2156863,0.5843138,0.1294118
0.3568628,0.8470589,0.1215686
1,0.7960785,0.2745098
1,0.6431373,0.2235294
