1
20001-2
Farm,
Free
9,17
-1,-1,1,0,1,-1,-1,-1,-1
-1,-1,1,0,1,-1,-1,-1,-1
-1,1,1,2,0,1,1,0,0
1,0,0,3,3,0,0,-1,-1
0,0,-1,3,2,-1,-1,-1,-1
-1,-1,-1,2,3,-1,-1,-1,-1
-1,-1,-1,2,2,-1,-1,-1,-1
-1,-1,2,3,2,2,-1,-1,-1
-1,2,3,2,3,3,2,-1,-1
-1,3,3,2,0,2,3,-1,-1
3,2,0,2,3,0,2,3,-1
2,0,3,3,2,3,0,2,2
0,3,3,2,3,2,3,-1,-1
-1,2,3,0,2,3,3,-1,-1
-1,3,2,3,0,2,-1,-1,-1
-1,-1,3,2,3,-1,-1,-1,-1
-1,-1,-1,3,2,-1,-1,-1,-1
0.9843138,0.6392157,0.003921569
0.9294118,0.3921569,0
0.9921569,0.8470589,0.007843138
0.9960785,0.9411765,0.08627451
