1
16-0
False,0
False,0
15,15
-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
-1,-1,-1,0,0,1,1,1,1,1,0,0,-1,-1,-1
-1,-1,0,1,1,1,1,1,1,1,1,1,0,-1,-1
-1,0,2,2,2,2,1,1,1,1,1,1,1,0,-1
-1,0,2,2,2,2,2,2,1,1,1,1,1,0,-1
0,2,2,2,2,2,2,2,2,2,1,1,1,1,0
0,2,2,2,2,2,2,2,2,2,2,1,1,1,0
0,2,2,2,2,2,2,2,2,2,2,2,1,1,0
0,2,2,2,2,2,2,2,2,2,2,2,1,1,0
0,2,2,3,2,2,2,2,2,2,2,2,2,1,0
-1,0,3,3,3,2,2,2,2,2,2,2,2,0,-1
-1,0,3,3,3,3,2,2,2,2,2,2,2,0,-1
-1,-1,0,3,3,3,3,2,2,2,2,2,0,-1,-1
-1,-1,-1,0,0,3,2,2,2,2,0,0,-1,-1,-1
-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
0.4078432,0.509804,0.227451
0.572549,0.7686275,0.2313726
0.7568628,0.9450981,0.427451
0.8901961,1,0.6980392
