1
10000-16
unicorn,
Free
56,29
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,4,4,4,4,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,4,4,4,4,4,4,4,4,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,4,4,4,5,5,5,5,5,4,4,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,4,4,5,5,5,5,5,5,5,5,5,4,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,3,4,4,5,5,5,4,5,5,5,4,5,5,5,5,4,4,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,3,-1,-1,3,3,0,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,0,3,3,-1,-1,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,3,6,6,6,3,3,6,0,0,3,4,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,4,3,0,0,6,3,3,6,6,6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,3,6,0,0,0,3,6,0,0,3,4,4,5,5,3,3,5,4,3,5,5,3,5,5,3,3,5,5,4,4,3,0,0,6,3,0,0,0,6,3,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,3,3,3,3,0,0,0,0,6,0,0,0,3,4,5,5,3,3,3,3,5,5,5,5,5,4,3,3,3,3,5,5,4,3,0,0,0,6,0,0,0,0,3,3,3,3,-1,-1,-1,-1,-1
-1,-1,-1,-1,3,6,0,0,3,0,0,0,0,0,0,0,0,3,4,5,5,3,3,0,3,5,5,5,5,5,5,3,3,0,3,5,5,4,3,0,0,0,0,0,0,0,0,3,0,0,6,3,-1,-1,-1,-1
-1,-1,-1,3,0,0,0,0,0,6,0,0,0,0,0,0,0,3,5,5,5,5,3,3,5,5,5,5,4,5,5,5,3,3,4,5,5,5,3,0,0,0,0,0,0,0,6,0,0,0,0,0,3,-1,-1,-1
-1,-1,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,-1,-1
-1,-1,-1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,-1,-1,-1
