1
10000-38
unicorn,
Ads
29,29
-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,3,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,1,2,2,2,2,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,8,-1,-1,-1,-1,-1,3,1,1,1,2,2,2,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,3,1,1,1,1,2,2,2,2,2,2,2,3,-1,-1,-1,-1,8,-1,-1,-1,-1
-1,-1,-1,-1,-1,8,3,1,1,1,1,1,2,2,2,5,5,5,5,5,-1,-1,-1,8,8,8,-1,-1,-1
-1,-1,7,7,7,-1,3,1,1,1,1,1,2,2,5,4,4,4,4,4,5,-1,-1,-1,8,-1,-1,-1,8
-1,7,9,9,9,3,1,1,1,1,1,1,2,5,4,3,3,5,4,4,4,5,-1,-1,-1,-1,-1,-1,-1
7,9,9,9,9,3,1,1,1,1,1,1,2,5,3,3,3,3,5,4,4,5,-1,-1,-1,-1,-1,-1,-1
7,9,9,9,9,3,1,1,1,1,1,1,2,5,3,3,3,3,3,3,3,5,-1,-1,-1,8,-1,8,-1
7,9,9,8,9,3,1,1,1,1,1,1,2,3,1,3,3,3,3,3,3,5,-1,8,-1,-1,8,-1,-1
-1,7,8,7,9,3,1,1,1,1,1,2,2,3,1,1,1,1,0,0,0,3,-1,-1,-1,8,-1,8,-1
-1,-1,7,9,9,3,1,1,1,1,2,2,2,3,1,1,1,1,0,0,0,3,-1,-1,-1,-1,-1,-1,-1
-1,7,9,9,9,3,1,1,1,1,2,2,3,3,1,1,1,1,0,0,0,1,3,-1,-1,-1,-1,-1,-1
-1,7,9,9,9,9,3,1,1,1,2,3,1,1,1,1,6,2,2,0,2,2,1,3,-1,-1,-1,-1,-1
-1,7,9,9,9,9,3,1,1,1,3,1,1,1,1,6,6,2,2,2,2,2,1,3,-1,-1,-1,-1,-1
-1,7,8,9,9,9,3,1,1,1,3,1,1,1,1,0,6,2,2,2,2,2,1,3,-1,-1,-1,8,-1
-1,-1,7,8,9,9,3,1,1,1,3,1,6,6,1,6,1,1,2,2,2,1,1,3,-1,-1,-1,-1,-1
-1,-1,7,7,8,8,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,-1,8,-1,-1,-1
8,-1,7,9,7,7,7,3,1,1,1,1,1,1,6,1,1,1,1,1,9,9,2,3,-1,-1,-1,-1,-1
-1,-1,7,9,9,9,9,9,3,1,1,1,1,1,6,1,1,1,1,9,8,8,9,9,-1,-1,-1,-1,8
-1,-1,7,8,9,9,9,9,3,1,1,1,1,1,1,1,1,1,1,9,8,8,9,8,9,9,-1,-1,-1
-1,-1,-1,7,8,9,9,9,9,3,2,1,1,1,1,1,1,1,1,9,8,9,8,8,8,9,9,9,-1
-1,-1,-1,-1,7,8,8,8,3,1,1,3,1,1,1,1,1,1,1,9,0,9,0,0,9,0,0,0,9
-1,-1,-1,-1,-1,7,7,7,3,1,4,3,1,1,1,1,1,1,7,8,9,9,9,9,9,9,9,9,-1
-1,-1,-1,-1,-1,-1,7,9,3,1,4,3,7,1,1,1,1,7,9,8,7,3,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,8,-1,-1,-1,7,3,1,4,3,9,7,7,7,7,9,9,8,7,3,-1,-1,8,-1,8,-1,-1
-1,-1,8,8,8,-1,-1,-1,-1,3,1,3,9,9,9,9,9,9,8,7,4,3,-1,-1,-1,8,-1,-1,-1
-1,-1,-1,8,-1,-1,-1,-1,-1,-1,3,8,8,8,8,8,8,8,7,3,1,3,-1,-1,8,-1,8,-1,-1
-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,7,7,7,7,7,7,7,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1
1,0.9843138,0.7529413
0.937255,0.8666667,0.5921569
0.8235295,0.6705883,0.3411765
0.7568628,0.5137255,0.254902
0.6313726,0.4078432,0.2117647
0,0,0
0.7803922,0.172549,0.6039216
1,0.7294118,0.9843138
1,0.3137255,0.9450981
