1
26-3
False,0
False,0
16,21
-1,-1,-1,-1,-1,-1,1,2,2,2,3,3,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,1,2,2,2,3,3,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,1,2,2,2,3,3,-1,-1,-1,-1
-1,-1,-1,-1,-1,1,1,2,2,2,2,3,3,-1,-1,-1
-1,-1,-1,-1,-1,1,1,2,2,2,2,3,3,-1,-1,-1
-1,-1,-1,-1,2,2,2,2,2,2,2,2,3,3,-1,-1
-1,-1,-1,-1,3,3,3,3,3,3,3,3,3,3,-1,-1
-1,-1,-1,0,0,0,0,0,2,2,2,2,2,2,2,-1
-1,-1,-1,-1,0,0,0,0,2,2,2,2,2,2,-1,-1
-1,-1,-1,-1,-1,-1,4,-1,4,-1,4,4,4,5,5,-1
-1,5,5,5,-1,4,4,-1,4,-1,-1,4,-1,5,5,6
6,5,5,-1,4,4,5,-1,4,-1,-1,-1,4,-1,5,-1
-1,5,-1,4,-1,5,6,-1,4,-1,-1,5,5,4,-1,-1
-1,-1,4,-1,-1,5,5,-1,4,5,-1,5,5,-1,5,5
-1,-1,5,5,-1,-1,-1,5,5,-1,-1,6,6,-1,5,6
-1,-1,6,5,-1,-1,5,5,5,5,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,5,5,5,-1,5,6,-1,-1,-1,-1
-1,-1,-1,-1,-1,5,5,-1,5,5,5,5,5,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,5,5,5,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,6,5,5,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1
0.8156863,0.8117648,0.8431373
0.8431373,0.8000001,0.8627452
0.7333333,0.6705883,0.7098039
0.5764706,0.5333334,0.5568628
0.3803922,0.5450981,0.1960784
0.7176471,0.7803922,0.3490196
0.909804,0.9215687,0.572549
