1
10001-66
food,
Free
19,19
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,4,0,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,4,0,0,0,3,3,-1,-1,-1,-1,4,5,-1,-1,-1,-1,-1
-1,0,4,4,0,0,0,0,0,-1,-1,4,5,6,-1,-1,-1,-1,-1
-1,3,0,4,4,4,4,4,4,4,4,5,6,-1,-1,-1,-1,-1,-1
-1,3,0,4,4,4,4,4,5,5,5,6,6,-1,-1,-1,-1,-1,-1
-1,3,3,0,5,5,5,5,5,6,6,6,-1,-1,-1,-1,-1,-1,-1
-1,-1,4,3,0,0,1,9,10,9,9,7,9,-1,-1,-1,-1,-1,-1
-1,-1,-1,4,3,0,9,2,9,8,7,8,7,8,-1,-1,-1,-1,-1
-1,-1,-1,-1,4,3,1,9,10,9,8,7,8,7,8,-1,-1,-1,-1
-1,-1,-1,-1,4,3,9,2,9,8,9,8,7,8,7,8,-1,-1,-1
-1,-1,-1,-1,-1,4,3,9,10,9,7,9,8,7,8,7,-1,-1,-1
-1,-1,-1,-1,-1,4,3,1,9,10,9,7,9,8,11,8,7,-1,-1
-1,-1,-1,-1,-1,4,3,-1,2,9,10,9,7,9,7,11,8,-1,-1
-1,-1,-1,-1,-1,4,-1,-1,-1,2,9,10,9,7,9,7,11,8,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,9,10,9,7,9,7,11,8
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,9,10,9,10,11,8,7
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,10,9,10,11,8
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,9,10,11
0.1317647,0.2883137,0.05035294
0.296732,0.1686275,0.007843138
0.5215687,0.282353,0.01960784
0.2056373,0.4088236,0.1120098
0.2534495,0.4901961,0.146841
0.3518717,0.6199644,0.224599
0.4162465,0.6879552,0.2868347
0.9176472,0.7696596,0.1614035
0.9159959,0.7001033,0.1568628
0.9200506,0.568248,0.1615433
0.775425,0.4460131,0.07058824
0.9966387,0.8705883,0.3865547
