1
10001-30
food,
Ads
37,28
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,-1,-1,-1
-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,11,11,11,11,4,4,1,1,1,1,1,2,-1,-1,-1
-1,-1,-1,2,2,1,1,1,1,1,1,1,1,11,11,4,4,1,1,1,11,11,11,11,11,11,11,4,4,1,1,1,1,2,2,-1,-1
-1,-1,2,2,0,0,11,4,4,1,1,1,11,11,11,11,11,4,11,11,11,11,11,11,11,11,11,11,4,2,1,1,2,2,2,-1,-1
-1,2,11,0,11,11,11,11,11,4,11,11,0,0,11,11,11,4,11,11,11,11,11,11,11,11,11,11,4,4,2,2,2,2,2,2,-1
-1,4,0,11,11,11,11,11,11,11,11,0,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4,11,11,4,2,2,2,2,-1
4,11,0,11,11,11,11,11,11,11,11,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4,2,2,2
4,11,0,11,11,11,11,11,11,11,11,11,11,11,9,9,11,11,11,11,11,11,11,0,0,11,14,13,11,11,11,11,11,11,4,2,2
11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,8,8,11,11,0,11,11,11,0,9,9,13,4,11,11,14,11,11,11,11,4,2
11,11,11,11,11,11,11,11,11,11,11,0,9,11,4,8,8,13,4,9,9,4,11,11,9,9,4,4,9,8,13,13,11,11,11,4,2
11,11,11,11,11,11,11,10,12,11,0,4,11,11,11,11,4,4,11,11,11,11,11,11,11,4,4,9,8,8,4,11,11,11,11,4,4
11,11,11,11,14,11,10,12,4,4,11,11,11,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,11,11,11,8,8,4,11,0,9,11,11,4,4
11,11,11,14,13,11,12,4,11,13,11,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,11,11,11,11,11,11,11,9,11,4,4,4
4,11,11,11,11,11,11,11,8,4,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,4,11,11,10,12,4,4,4,4,4,4
4,11,11,11,0,9,11,11,8,11,11,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,4,4,4,3,4,4,4,3,4,4,4
4,11,11,0,9,4,11,11,11,11,11,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,4,4,4,4,4,9,4,4,4,4,-1
-1,11,11,9,4,11,10,11,11,11,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,7,4,5,10,4,4,4,-1
-1,11,11,11,11,11,12,11,0,9,11,11,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,8,7,6,4,10,4,4,4,-1
-1,4,11,11,11,9,4,11,11,9,4,11,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,8,7,5,4,4,4,4,4,-1,-1
-1,-1,11,11,11,9,8,4,11,4,4,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,4,4,4,4,-1,-1
-1,-1,-1,11,11,11,8,8,4,14,13,5,4,4,13,6,4,4,12,3,4,4,4,4,4,4,9,10,4,4,4,4,4,4,-1,-1,-1
-1,-1,-1,-1,4,11,11,11,11,4,4,4,8,4,4,6,5,4,4,3,5,6,4,4,4,10,10,5,4,3,4,4,4,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,4,4,4,4,10,4,5,7,7,5,5,9,4,5,5,8,7,4,6,6,5,4,4,4,4,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,4,4,4,4,10,5,4,8,7,5,5,4,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,4,4,4,4,4,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1
0.8941177,0.6509804,0.4470589
0.7215686,0.4352942,0.3137255
0.6196079,0.1568628,0.2078432
0.6392157,0.3058824,0.454902
0.4078432,0.2196079,0.4235294
0.07058824,0.3058824,0.5372549
0.2431373,0.5372549,0.282353
0.3882353,0.7803922,0.3019608
0.9960785,0.9058824,0.3803922
0.9960785,0.682353,0.2039216
0.9647059,0.4588236,0.4784314
0.8941177,0.2313726,0.2666667
0,0.5843138,0.9137256
0.172549,0.909804,0.9607844
