1
10001-21
food,
Free
18,16
-1,-1,-1,-1,-1,-1,-1,3,3,3,3,3,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,3,3,4,4,4,4,4,3,-1,-1,-1,-1,-1
-1,-1,-1,-1,3,4,4,4,4,5,5,7,7,2,-1,-1,-1,-1
-1,-1,-1,3,4,4,5,5,5,5,6,6,6,3,3,3,-1,-1
-1,-1,3,4,4,5,5,7,6,6,4,4,4,4,4,4,3,-1
-1,3,4,4,5,5,7,6,4,4,4,5,5,5,7,7,7,2
-1,3,4,5,5,7,6,4,4,5,5,5,6,6,6,6,6,-1
3,4,4,5,7,6,4,4,5,5,6,6,4,4,4,3,-1,-1
3,4,5,5,6,4,7,7,6,6,7,7,7,7,7,7,2,-1
3,4,7,6,4,7,6,6,7,7,6,6,6,6,6,6,-1,-1
3,4,7,6,7,6,7,7,6,6,-1,-1,-1,-1,-1,-1,-1,-1
3,4,7,6,6,7,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,4,6,7,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,5,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.6196079,0.482353,0.2588235
0.5411765,0.3490196,0.172549
0.345098,0.3137255,0.2431373
0.9019608,0.6235294,0.01960784
1,0.6784314,0.003921569
1,0.8431373,0.2666667
1,0.9490197,0.5254902
1,0.9176471,0.2745098
