1
10001-22
food,
Ads
13,18
-1,-1,-1,8,7,8,7,8,7,8,-1,-1,-1
-1,-1,-1,8,7,8,7,8,7,8,-1,-1,-1
-1,-1,6,8,7,8,7,8,7,8,7,-1,-1
-1,8,6,8,6,8,6,8,6,8,6,7,-1
-1,8,6,7,6,7,6,7,6,7,6,6,-1
-1,8,8,6,8,6,6,6,6,6,7,7,-1
7,7,7,7,7,7,7,7,7,7,7,7,7
2,5,1,1,1,2,2,2,2,5,2,2,3
-1,1,0,5,1,1,5,2,2,2,2,3,-1
-1,1,0,1,1,1,1,1,1,1,5,3,-1
-1,-1,2,0,1,1,1,5,1,1,3,-1,-1
-1,-1,-1,2,5,1,1,2,2,3,-1,-1,-1
-1,-1,-1,-1,-1,2,2,3,3,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,9,9,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,10,9,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,11,11,-1,4,-1,-1,-1
0.9921569,0.9254903,0.8509805
0.9803922,0.8313726,0.6509804
0.9725491,0.7411765,0.4666667
0.9568628,0.6235294,0.3372549
0.7137255,0.2313726,0.1058824
0.5372549,0.05490196,0.05490196
0.482353,0.3137255,0.6156863
0.4313726,0.2745098,0.6
0.5882353,0.4392157,0.682353
0.8901961,0.08627451,0.254902
0.909804,0.2588235,0.3019608
0.1254902,0.6784314,0.3019608
