1
10001-33
food,
Ads
41,31
3,3,4,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
-1,-1,-1,-1,5,4,4,3,4,4,4,4,5,5,5,5,5,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,-1
-1,-1,-1,-1,-1,5,3,3,4,4,4,4,4,5,5,5,5,3,3,3,4,4,4,4,4,4,4,4,6,6,6,6,6,4,5,5,5,5,5,5,-1
-1,-1,-1,-1,-1,-1,3,3,3,4,4,4,4,5,5,5,5,3,3,3,4,4,4,4,4,4,4,4,6,6,6,6,6,4,5,5,5,5,5,-1,-1
-1,-1,-1,-1,-1,-1,-1,3,3,3,3,4,5,4,4,5,5,3,3,3,4,4,4,4,4,4,4,4,4,6,6,6,4,4,5,5,5,5,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,4,4,4,4,4,5,3,3,3,4,4,4,4,4,4,6,6,4,4,4,4,4,6,6,5,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,0,0,1,1,4,4,4,4,4,5,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,4,4,4,4,5,5,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,4,4,5,5,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,5,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,0,0,1,1,1,1,1,1,1,2,2,1,2,2,2,3,3,3,3,3,4,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,0,0,0,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,0,0,1,1,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
