1
10001-58
food,
Free
17,17
0,0,0,0,0,0,5,5,5,5,5,0,0,0,0,0,0
0,0,0,0,0,0,7,6,6,5,5,0,0,0,0,0,0
0,0,0,0,0,0,7,7,6,6,5,0,0,0,0,0,0
0,0,0,0,0,0,7,7,6,6,5,0,0,0,0,0,0
0,0,0,0,0,6,7,7,6,6,6,5,0,0,0,0,0
0,0,0,0,6,7,5,7,5,0,7,5,5,0,0,0,0
0,0,0,0,7,5,0,7,5,0,0,7,5,0,0,0,0
0,0,0,5,5,0,0,6,5,0,0,0,5,5,0,0,0
0,1,1,1,5,0,0,5,1,1,0,0,5,1,1,0,0
1,1,2,2,1,1,0,1,1,1,1,1,1,1,1,1,0
1,3,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1
1,1,3,3,3,2,2,1,3,2,2,2,3,3,2,2,1
1,2,1,1,2,2,2,2,1,3,3,3,1,1,2,2,1
1,4,3,3,2,2,4,3,3,1,1,1,2,2,2,2,0
0,3,4,4,4,3,3,4,3,3,3,3,3,2,0,0,0
0,0,3,3,3,3,0,3,4,4,4,4,4,3,0,0,0
0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0
0.9998704,0.9998704,0.9998704
0.0003565063,0.3996435,0.0007130125
0.007843138,0.5372549,0
0.03149139,0.6469399,0.0002376708
0.0509804,0.7803922,0.003921569
0.4240001,0.8152156,0
0.5058824,0.9016342,0.02385621
0.572549,0.9764706,0.07058824
