1
27-5
False,0
False,0
14,14
-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,1,0,0,0,0,1,-1,-1,-1,-1
-1,-1,-1,-1,1,0,0,0,0,1,-1,-1,-1,-1
-1,-1,-1,-1,1,0,1,1,0,1,-1,-1,-1,-1
-1,1,1,1,0,0,0,0,0,0,1,1,1,-1
1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,2,2,0,0,0,1,0,1
1,0,1,0,0,0,2,2,0,0,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1
-1,1,1,1,0,0,0,0,0,0,1,1,1,-1
-1,-1,-1,-1,1,0,1,1,0,1,-1,-1,-1,-1
-1,-1,-1,-1,1,0,0,0,0,1,-1,-1,-1,-1
-1,-1,-1,-1,1,0,0,0,0,1,-1,-1,-1,-1
-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1
1,0.6235294,0.7215686
0.454902,0.3764706,0.6352941
1,0.9686275,0.3098039
