1
27-1
False,0
False,0
13,13
-1,-1,-1,-1,4,4,4,4,4,-1,-1,-1,-1
-1,-1,4,4,1,1,1,2,2,4,4,-1,-1
-1,4,2,2,2,2,2,2,2,2,2,4,-1
-1,4,2,2,2,2,3,2,2,2,2,4,-1
4,1,1,2,2,3,0,3,2,2,2,2,4
4,1,2,2,3,0,0,0,3,2,2,2,4
4,1,2,3,0,0,0,0,0,3,2,2,4
4,1,2,3,0,0,3,0,0,3,2,2,4
4,2,2,2,3,3,2,3,3,2,1,2,4
-1,4,2,2,2,2,2,2,2,1,1,4,-1
-1,4,2,2,2,2,2,1,1,1,1,4,-1
-1,-1,4,4,2,2,2,2,2,4,4,-1,-1
-1,-1,-1,-1,4,4,4,4,4,-1,-1,-1,-1
0.9294118,0.854902,0.9882354
0.9960785,0.8000001,0.8509805
1,0.6235294,0.7215686
0.6392157,0.4941177,0.6313726
0.454902,0.3764706,0.6352941
