1
10007-33
cute,
Ads,2
10,14
-1,-1,-1,-1,3,3,-1,-1,-1,-1
-1,-1,-1,3,6,7,3,-1,-1,-1
-1,-1,-1,3,4,5,3,-1,-1,-1
-1,-1,-1,3,6,7,3,-1,-1,-1
-1,-1,-1,3,4,5,3,-1,-1,-1
-1,-1,-1,3,6,7,3,-1,-1,-1
-1,3,3,3,4,4,3,3,3,-1
3,2,2,2,2,2,2,1,2,3
3,2,1,1,1,1,1,0,1,3
3,1,1,1,1,1,1,0,1,3
3,1,1,1,1,1,1,0,1,3
3,1,1,1,1,1,1,1,1,3
-1,3,3,3,4,5,3,3,3,-1
-1,-1,-1,-1,3,3,-1,-1,-1,-1
0.9647059,0.9647059,0.9647059
0.6901961,0.6901961,0.6901961
0.4941177,0.4470589,0.4470589
0,0,0
0.5058824,0.1137255,0.07058824
0.8901961,0.2941177,0.227451
0.8509805,0.8235295,0.3411765
0.9960785,0.9647059,0.3960785
