1
10007-48
cute,
Ads,1
16,14
-1,-1,-1,-1,2,2,2,2,2,2,2,2,-1,-1,-1,-1
-1,-1,-1,2,1,0,0,0,0,0,0,1,2,-1,-1,-1
-1,-1,-1,2,1,0,2,0,0,2,0,1,2,-1,-1,-1
-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1
-1,2,3,3,3,3,3,3,3,3,3,3,3,3,2,-1
2,3,4,4,4,4,4,0,0,4,4,4,4,4,3,2
2,4,4,4,4,4,0,0,0,0,4,4,4,4,4,2
2,4,4,4,4,4,0,0,0,0,4,4,4,4,4,2
2,1,0,4,4,4,4,0,0,4,4,4,4,0,1,2
-1,2,1,0,4,4,4,4,4,4,4,4,0,1,2,-1
-1,-1,2,1,4,4,4,4,4,4,4,4,1,2,-1,-1
-1,-1,-1,2,4,4,4,4,4,4,4,4,2,-1,-1,-1
-1,-1,-1,-1,2,2,4,0,0,4,2,2,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,-1,-1,-1,-1
0.9686275,0.9686275,0.9686275
0.6313726,0.8627452,0.8862746
0.01568628,0.01568628,0.01568628
0.7686275,0,0
1,0.07058824,0.07058824
