1
10007-41
cute,
Ads,1
20,20
0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0
1,5,7,5,1,0,0,0,0,1,1,0,0,0,0,1,5,7,5,1
5,7,4,7,5,1,0,0,1,3,3,1,0,0,1,5,7,4,7,5
1,5,7,5,1,0,0,1,3,4,4,3,1,0,0,1,5,7,5,1
0,1,5,1,0,0,1,3,4,5,5,4,3,1,0,0,1,5,1,0
0,0,1,0,0,1,3,4,5,6,6,5,4,3,1,0,0,1,0,0
0,0,0,0,1,3,4,5,6,4,4,6,5,4,3,1,0,0,0,0
0,0,0,1,3,4,5,6,4,7,7,4,6,5,4,3,1,0,0,0
0,0,1,3,4,5,6,4,7,6,6,7,4,6,5,4,3,1,0,0
0,1,3,4,5,6,4,7,6,2,2,6,7,4,6,5,4,3,1,0
0,1,3,4,5,6,4,7,6,2,2,6,7,4,6,5,4,3,1,0
0,0,1,3,4,5,6,4,7,6,6,7,4,6,5,4,3,1,0,0
0,0,0,1,3,4,5,6,4,7,7,4,6,5,4,3,1,0,0,0
0,0,0,0,1,3,4,5,6,4,4,6,5,4,3,1,0,0,0,0
0,0,1,0,0,1,3,4,5,6,6,5,4,3,1,0,0,1,0,0
0,1,5,1,0,0,1,3,4,5,5,4,3,1,0,0,1,5,1,0
1,5,7,5,1,0,0,1,3,4,4,3,1,0,0,1,5,7,5,1
5,7,4,7,5,1,0,0,1,3,3,1,0,0,1,5,7,4,7,5
1,5,7,5,1,0,0,0,0,1,1,0,0,0,0,1,5,7,5,1
0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0
0.7960785,0.2313726,0.01176471
0.9176471,0.3921569,0.1843137
1,0.5843138,0.654902
1,0.7254902,0.2509804
0.9490197,1,0.2509804
0.172549,0.01960784,0.4235294
0.2784314,0,0.7254902
0.5215687,0.6784314,0.9882354
