1
10007-89
cute,
Free
27,21
-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,2,2,1,1,4,4,4,4,4,4,4,4,4,1,1,2,2,-1,-1,-1,-1,-1
-1,-1,-1,-1,2,2,1,1,4,0,0,0,0,0,0,0,0,0,4,1,1,2,2,-1,-1,-1,-1
-1,-1,-1,2,2,1,1,4,3,3,3,3,3,3,3,3,3,3,3,4,1,1,2,2,-1,-1,-1
-1,-1,-1,2,2,1,1,4,3,3,3,3,3,3,3,3,3,3,3,4,1,1,2,2,-1,-1,-1
-1,-1,-1,2,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,2,-1,-1,-1
-1,-1,-1,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,2,-1,-1,-1
-1,-1,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,-1,-1
-1,-1,-1,2,2,4,4,4,4,4,4,4,1,1,1,4,4,4,4,4,4,4,2,2,-1,-1,-1
-1,-1,-1,2,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,2,-1,-1,-1
-1,-1,-1,2,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,2,-1,-1,-1
-1,-1,-1,2,4,4,0,0,4,4,4,4,4,1,4,4,0,0,4,4,4,4,4,2,-1,-1,-1
-1,-1,-1,2,4,4,0,0,4,4,4,4,4,1,4,4,0,0,4,4,4,4,4,2,-1,-1,-1
5,5,-1,2,4,4,0,0,4,4,4,4,4,1,4,4,0,0,4,4,4,4,4,2,-1,5,5
5,5,-1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,-1,5,5
-1,-1,-1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,-1,-1,-1
-1,-1,-1,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,-1,-1,-1
-1,-1,-1,-1,-1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1
0.9835784,0.9765931,0.8567401
0.9984723,0.7828369,0.1419405
0.9705524,0.6478075,0.05279857
0.972549,0.3322639,0.3600713
0.1136765,0.1402941,0.277059
0.3941177,0.7980393,0.9431373
