1
10007-84
cute,
Free
11,19
-1,7,7,7,7,6,6,6,5,5,-1
7,7,7,7,7,7,7,7,6,5,5
7,7,7,7,7,7,7,7,6,6,5
7,10,10,10,10,10,10,10,9,9,5
7,10,10,10,10,10,10,10,9,9,5
7,10,10,10,10,10,10,10,9,9,5
7,10,10,10,10,10,10,10,9,9,5
7,10,10,10,10,10,10,10,9,9,5
7,10,10,10,10,10,10,10,9,9,5
7,7,8,7,7,7,7,7,6,6,5
7,7,8,7,7,7,7,7,6,6,5
-1,7,7,8,7,7,7,6,6,5,-1
-1,-1,7,7,7,7,6,6,5,-1,-1
-1,-1,-1,2,1,2,3,4,-1,-1,-1
-1,-1,-1,2,1,2,3,4,-1,-1,-1
-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,0,-1,-1,-1,4,-1
-1,-1,-1,-1,-1,2,3,3,3,4,-1
-1,-1,-1,-1,-1,2,4,-1,-1,-1,-1
0.8705883,0.8705883,0.8705883
0.7960785,0.7980393,0.7509804
0.682353,0.6862745,0.6209151
0.5490196,0.5482354,0.454902
0.4235294,0.4282353,0.3552941
0.6509804,0.6786929,0.263268
0.764706,0.7854343,0.3131653
0.8613846,0.8812325,0.3985595
0.9529412,0.9633988,0.6941177
0.9529412,0.8728759,0.7460786
0.979832,0.9249299,0.8363214
