1
31-5
False,0
False,0
33,47
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,6,7,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,5,4,4,4,4,4,7,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,5,4,4,4,4,4,7,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,5,4,4,4,4,4,7,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,6,6,5,5,4,4,4,4,7,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,6,6,6,6,-1,-1,-1,6,6,6,5,5,5,5,5,4,4,4,4,7,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,6,6,4,4,4,4,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,7,-1,-1,-1,-1,-1,-1,-1,-1
-1,6,6,5,5,5,4,4,4,4,4,4,5,5,5,4,4,4,4,4,5,4,4,4,7,-1,-1,-1,-1,-1,-1,-1,-1
6,5,5,5,5,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,7,-1,-1,-1,-1,-1,-1,-1,-1
6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,-1,-1,-1,-1,-1,-1,-1,-1
6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,-1,-1,-1,-1,-1,-1,-1,-1
-1,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,0,4,4,4,4,4,4,7,-1,-1,-1,-1,-1,-1,-1,-1
-1,6,5,5,5,5,5,5,5,5,4,4,4,4,4,5,0,0,0,4,4,4,4,4,7,-1,6,3,3,-1,-1,-1,-1
-1,-1,6,5,5,5,5,5,5,5,4,4,4,4,4,5,0,0,0,0,4,4,4,4,7,6,3,1,1,3,-1,-1,-1
-1,-1,-1,6,5,5,5,5,5,4,4,4,4,4,4,5,0,0,0,0,0,4,4,4,7,6,3,1,1,3,-1,-1,-1
-1,-1,-1,-1,6,5,5,5,5,4,4,4,4,4,4,4,5,0,0,0,0,4,4,4,7,6,3,1,1,1,3,-1,-1
-1,-1,-1,-1,-1,6,5,5,7,3,4,4,4,4,4,4,5,0,0,0,0,4,4,4,4,7,3,1,1,1,3,-1,-1
-1,-1,-1,-1,-1,-1,6,6,1,1,3,4,4,4,4,4,5,0,0,0,0,0,4,4,4,7,3,1,1,1,1,3,-1
-1,-1,-1,-1,-1,-1,6,3,1,1,1,3,4,4,4,4,4,5,0,0,5,0,4,4,4,4,7,3,1,1,1,3,-1
-1,-1,-1,-1,-1,6,4,3,1,1,1,3,4,4,4,4,4,5,0,0,5,0,0,4,4,4,4,4,1,1,1,3,-1
-1,-1,-1,-1,-1,6,3,3,1,1,3,4,4,4,4,4,4,4,5,0,5,0,0,4,4,4,4,1,1,1,1,3,-1
-1,-1,-1,-1,-1,6,3,1,1,3,4,4,4,4,4,4,4,4,5,0,0,5,0,4,4,4,4,1,1,1,1,3,-1
-1,-1,-1,-1,-1,6,3,1,1,3,4,4,4,4,4,4,4,4,4,5,0,6,6,6,4,4,4,4,1,1,3,-1,-1
-1,-1,-1,-1,-1,6,3,1,1,3,3,4,4,4,4,4,4,4,4,6,6,5,5,5,5,5,5,4,1,3,-1,-1,-1
