1
10002-55
popular,
Free
20,18
1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2
1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2
-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,3,2,2,2,2,2,2
-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,3,3,3,2,2,2,2,2
-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,3,3,3,3,2,2,2,2,2
-1,-1,-1,-1,-1,-1,-1,0,-1,-1,3,3,3,3,3,3,2,2,2,2
-1,-1,-1,-1,-1,-1,-1,-1,0,3,3,3,3,3,3,3,2,2,2,2
-1,-1,-1,-1,-1,-1,-1,-1,4,3,3,3,3,3,3,3,2,2,2,2
-1,-1,-1,-1,-1,-1,-1,4,4,4,3,3,3,3,3,3,3,2,2,2
-1,-1,-1,-1,-1,-1,4,4,4,4,4,3,3,3,3,3,3,2,2,2
-1,-1,-1,-1,-1,4,4,4,4,4,4,4,3,3,3,3,3,2,2,-1
-1,-1,-1,-1,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,-1
-1,-1,-1,5,5,4,4,4,4,4,4,4,4,4,3,3,3,2,2,-1
-1,-1,-1,5,5,5,5,4,4,4,4,4,4,4,4,3,3,2,-1,-1
-1,-1,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,-1,-1,-1
-1,-1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-1,0,-1,-1
-1,-1,5,5,5,5,5,5,5,5,5,5,5,5,5,-1,-1,-1,0,-1
-1,-1,5,5,5,5,5,5,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1
0.5372549,0.6352941,0.6588235
0.2235294,0.2666667,0.4
0.8392158,0.4627451,0.2627451
0.9686275,0.4627451,0.1294118
0.9882354,0.6784314,0.2078432
0.9921569,0.909804,0.3764706
