1
10002-82
popular,
Free
63,74
26,26,26,26,14,14,14,14,13,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,0,0,0,0,0,0,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,25,25,13,13,26,26,26
26,26,26,26,14,14,14,14,13,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,0,0,0,0,0,0,0,0,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,14,14,13,13,26,26,26
25,26,26,26,26,14,14,13,13,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,0,0,0,0,0,0,0,0,0,0,26,26,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,14,14,13,13,26,26,26
25,26,26,25,26,14,14,13,13,13,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,0,0,0,0,0,0,0,0,0,0,0,0,26,26,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,14,14,14,13,26,26,-1
-1,26,26,25,26,26,14,13,13,13,14,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,14,14,14,13,26,26,-1
-1,25,26,25,25,26,14,13,13,13,14,14,14,14,14,25,25,25,25,25,25,25,25,25,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,13,14,14,14,26,-1,-1
-1,25,26,26,25,25,26,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,13,13,14,14,26,26,-1,-1
-1,25,26,26,25,25,25,26,26,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,13,13,26,26,26,26,-1,-1
-1,25,25,26,25,25,25,25,25,25,25,25,14,14,14,14,14,14,14,14,14,14,14,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,13,13,26,26,26,26,-1,-1
-1,-1,25,26,25,25,25,25,25,25,25,25,25,25,25,14,14,14,14,14,14,14,14,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,26,26,26,26,26,26,-1,-1
