1
10002-64
popular,
Free
21,22
-1,-1,-1,-1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-1,-1,-1
-1,-1,-1,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,-1,-1
-1,-1,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,-1
-1,-1,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,-1
-1,-1,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,-1
-1,-1,5,2,2,2,2,2,3,3,3,3,4,3,3,3,3,3,3,5,-1
-1,-1,-1,5,2,2,2,2,2,3,4,4,3,3,3,3,3,3,3,5,-1
-1,-1,-1,-1,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,5,-1
-1,-1,-1,-1,-1,-1,5,4,4,4,3,3,3,3,3,3,3,3,3,5,-1
-1,-1,-1,-1,-1,-1,5,5,3,3,3,3,4,4,3,4,4,4,4,5,5
-1,-1,-1,-1,-1,-1,5,2,3,3,3,3,3,3,3,3,3,3,3,3,5
-1,-1,-1,-1,-1,-1,5,2,3,2,2,2,2,2,2,2,3,3,3,3,5
-1,-1,-1,-1,-1,-1,5,2,2,4,4,4,4,4,4,4,4,4,3,3,5
-1,-1,5,5,-1,-1,5,4,4,4,4,5,3,0,5,5,5,5,5,3,5
-1,5,0,0,5,-1,-1,5,5,5,5,1,5,1,1,1,1,0,0,5,-1
5,1,0,0,5,-1,-1,5,0,5,0,1,1,5,1,1,1,1,1,0,5
5,0,1,5,-1,-1,5,0,5,5,1,1,1,1,5,0,0,1,0,5,-1
5,0,1,0,5,5,0,0,5,5,1,1,0,0,5,5,5,5,5,-1,-1
5,1,0,0,0,0,0,5,-1,5,0,0,1,0,5,-1,-1,-1,-1,-1,-1
-1,5,0,0,0,0,5,-1,-1,-1,5,0,1,0,5,-1,-1,-1,-1,-1,-1
-1,-1,5,5,5,5,-1,-1,-1,-1,-1,5,0,5,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1
0.9960785,0.9960785,0.7137255
0.9411765,0.9843138,0.1921569
0.937255,0.6235294,0.4941177
0.9607844,0.2784314,0.1176471
0.4901961,0.1686275,0.1019608
0.09803922,0.007843138,0.03137255
