1
10002-67
popular,
Ads,2
71,79
6,6,6,6,6,5,5,5,5,5,4,4,4,2,2,2,2,2,2,2,3,4,4,4,4,4,3,3,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,5,5,5,5,5,5,0,0,0
6,6,6,6,5,5,5,5,5,4,4,4,4,2,2,2,2,2,2,2,2,3,4,4,4,4,3,2,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,5,5,5,5,0,0,0,-1,-1,-1
6,6,6,5,5,5,5,5,3,4,4,4,3,2,2,2,2,2,2,2,2,2,3,3,3,4,3,2,2,2,3,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,5,5,5,5,0,0,-1,-1,-1,-1,-1,-1
6,6,6,5,5,5,5,3,3,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,1,3,3,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,5,5,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1
6,6,5,5,5,5,5,3,3,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,5,5,5,5,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,5,5,5,5,3,2,2,3,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,3,3,5,5,5,5,5,6,6,6,6,6,6,6,6,0,0,0,0,0,5,5,5,5,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,5,5,5,3,2,2,2,2,3,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,3,3,5,5,5,5,5,6,6,6,0,0,0,0,0,0,5,5,5,5,5,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,5,5,4,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,3,3,5,5,5,5,5,0,0,0,0,0,0,5,5,5,5,5,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,5,4,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,3,3,4,4,5,5,5,0,5,5,5,5,5,5,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,3,1,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,3,5,5,5,5,5,5,4,4,4,5,5,5,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,1,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,4,5,5,5,5,5,5,5,5,5,4,5,3,3,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,1,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,2,4,4,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
