1
10002-127
popular,
Free
9,19
-1,1,1,1,1,1,1,1,-1
1,1,0,1,0,0,0,1,1
5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5
4,4,3,3,3,2,3,3,3
4,4,3,3,3,2,3,3,3
4,4,3,3,3,2,3,3,3
4,4,3,3,3,2,3,3,3
4,4,3,3,3,2,3,3,3
4,4,3,3,3,2,3,3,3
4,4,3,3,3,2,3,3,3
4,4,3,3,3,2,3,3,3
4,4,3,3,3,2,3,3,3
0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,-1
-1,0,0,0,0,0,0,0,-1
-1,-1,0,0,0,0,0,-1,-1
-1,-1,-1,4,4,3,-1,-1,-1
-1,-1,-1,-1,4,-1,-1,-1,-1
0.9599265,0.9036765,0.6855392
0.8428106,0.7362746,0.3679739
1,0.7333333,0.5154684
0.9927273,0.4792157,0.1380392
0.8248367,0.2879553,0.02240897
0.3496732,0.6183006,0.8834423
