1
10002-52
popular,
Ads
23,28
-1,-1,-1,-1,-1,-1,-1,-1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,4,3,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,4,3,3,4,6,4,4,4,-1,-1,-1,4,4,4,4,-1
-1,-1,-1,-1,-1,-1,-1,4,3,3,4,6,6,6,6,4,4,4,4,3,3,4,4
-1,-1,-1,-1,-1,-1,-1,4,4,3,4,6,6,6,6,6,6,6,4,3,3,3,4
-1,-1,-1,-1,-1,4,4,2,2,4,4,6,6,6,6,6,6,6,4,3,3,3,4
-1,-1,-1,4,4,2,2,2,2,2,4,4,4,4,6,6,6,6,4,3,3,3,4
-1,-1,4,3,3,2,2,2,4,4,4,1,1,1,4,6,0,0,6,4,3,3,4
-1,4,2,3,3,3,2,4,4,4,1,1,1,1,1,4,0,0,6,6,0,4,-1
-1,4,2,2,3,3,3,4,5,4,1,1,1,1,1,4,6,6,6,6,4,4,-1
4,3,2,2,2,3,4,4,5,5,4,1,1,1,4,6,6,5,5,5,4,1,4
4,3,3,2,4,4,-1,4,5,5,5,4,4,4,5,6,5,5,5,4,4,1,4
4,4,3,3,4,-1,-1,-1,4,5,5,5,5,5,6,6,5,5,4,4,1,1,4
-1,4,4,4,-1,-1,-1,-1,-1,4,5,5,5,4,4,4,4,4,4,-1,4,4,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,1,1,1,1,1,4,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,1,1,1,1,4,4,4,4,4,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,4,1,1,1,1,4,4,4,4,1,1,4,4,4,-1
-1,-1,-1,-1,-1,-1,-1,4,1,1,1,4,1,1,4,1,1,1,1,1,4,-1,-1
-1,-1,-1,-1,-1,-1,-1,4,1,1,4,4,4,1,1,1,1,1,1,1,4,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,4,1,4,4,1,1,1,4,1,4,1,4,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,4,1,1,1,4,1,4,1,4,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,4,4,1,1,1,1,1,1,4,4,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,5,5,4,4,4,4,4,4,4,4,4,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,2,5,5,5,4,4,4,4,4,4,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,2,3,5,5,5,5,5,4,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,3,3,4,5,5,5,5,3,4,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,3,4,-1,4,4,4,4,3,4,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,-1,-1,-1,-1,-1,-1,4,4,-1,-1,-1
1,1,1
1,0.6705883,0.5490196
0.8117648,0.5254902,0.3333333
0.5215687,0.1921569,0
0,0,0
1,0,0
0,0.06666667,1
