1
10002-128
popular,
Free
15,19
0,0,1,0,0,-1,-1,-1,-1,-1,4,4,5,4,4
3,3,3,3,3,-1,-1,-1,-1,-1,3,3,3,3,3
0,0,1,0,0,-1,-1,-1,-1,-1,4,4,5,4,4
0,0,1,0,0,-1,-1,-1,-1,-1,4,4,5,4,4
0,0,1,0,0,-1,-1,-1,-1,-1,4,4,5,4,4
0,0,2,0,0,-1,-1,-1,-1,-1,4,4,5,4,4
0,0,1,0,0,-1,-1,-1,-1,-1,4,4,5,4,4
0,0,2,0,0,-1,-1,-1,-1,-1,4,4,5,4,4
0,0,2,0,0,-1,-1,-1,-1,-1,4,4,5,4,4
0,0,1,0,0,-1,-1,-1,-1,-1,4,4,5,4,4
0,0,2,0,0,-1,-1,-1,-1,-1,4,4,5,4,4
0,0,2,0,0,-1,-1,-1,-1,-1,4,4,5,4,4
0,0,2,0,0,-1,-1,-1,-1,-1,4,4,6,4,4
0,0,2,0,0,-1,-1,-1,-1,-1,4,4,6,4,4
0,0,2,2,0,0,-1,-1,-1,4,4,6,6,4,4
0,0,0,2,2,0,0,3,4,4,5,5,4,4,4
-1,0,0,0,1,0,0,3,4,4,5,4,4,4,-1
-1,-1,0,0,0,0,0,3,4,4,4,4,4,-1,-1
-1,-1,-1,-1,0,0,0,3,4,4,4,-1,-1,-1,-1
0.7696343,0.02358241,0.02840488
0.9187676,0.05490196,0.06162465
0.9443852,0.4474154,0.1272727
0.04257703,0.1577031,0.2372549
0.05553791,0.3837839,0.8068362
0.2717087,0.6929973,0.9742298
0.6254902,0.8500001,1
