1
10002-27
popular,
Free
26,41
-1,-1,-1,-1,-1,-1,5,-1,-1,12,12,12,-1,-1,-1,-1,-1,12,12,12,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,5,-1,-1,12,12,-1,-1,-1,-1,-1,-1,-1,12,12,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,5,-1,-1,13,13,-1,-1,-1,-1,-1,-1,-1,13,13,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,5,-1,-1,14,14,-1,-1,-1,-1,-1,-1,-1,14,14,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,5,-1,-1,13,13,-1,-1,-1,-1,-1,-1,-1,13,13,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,5,-1,-1,14,14,-1,-1,-1,-1,-1,-1,-1,14,14,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,5,9,9,9,9,9,9,9,10,10,10,10,10,9,9,9,9,-1,-1,-1
-1,-1,-1,-1,-1,-1,5,9,9,9,9,9,9,10,4,4,4,4,4,10,9,9,-1,-1,-1,-1
-1,-1,-1,-1,-1,5,-1,9,9,9,9,9,10,4,3,3,4,3,3,4,10,9,-1,-1,-1,-1
-1,-1,-1,-1,-1,5,-1,-1,9,9,9,9,4,4,4,4,4,4,4,4,4,9,-1,-1,-1,-1
-1,-1,-1,-1,-1,5,-1,-1,9,9,9,9,4,3,3,4,3,3,4,3,3,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,5,-1,-1,-1,9,9,9,4,4,4,4,4,4,4,4,4,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,5,-1,-1,-1,9,9,9,4,9,9,9,9,9,9,9,3,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,6,-1,-1,-1,-1,9,9,4,10,10,10,10,10,10,10,3,10,-1,-1,-1,-1
-1,-1,-1,-1,-1,6,-1,-1,-1,-1,9,1,1,9,9,9,9,9,9,10,3,10,-1,-1,-1,-1
-1,-1,-1,1,1,9,10,10,10,10,10,1,1,8,8,8,8,9,10,3,10,10,-1,-1,-1,-1
-1,-1,-1,1,1,9,9,9,10,10,10,9,9,9,10,4,3,3,3,9,9,8,-1,-1,-1,-1
-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,9,9,9,9,9,9,9,9,8,8,-1,-1,-1,-1,-1
