1
20000-3
event,
Ads
57,74
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,9,9,9,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,11,11,11,11,11,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,8,8,8,8,8,8,8,9,9,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,12,6,12,12,12,12,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,8,6,10,1,1,1,1,10,8,8,8,9,9,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,9,9,9,-1,-1,8,12,12,6,6,6,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,8,8,1,1,6,6,-1,-1,-1,-1,10,10,8,8,8,9,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,9,9,8,8,8,8,8,8,8,9,9,12,12,12,12,12,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,8,8,1,6,6,-1,-1,-1,-1,-1,-1,-1,-1,10,8,8,8,9,-1,-1
-1,-1,-1,-1,-1,9,9,8,8,10,10,10,10,10,10,8,8,8,12,6,12,12,12,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,8,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,6,8,-1,-1
-1,-1,-1,-1,9,8,8,10,10,6,6,-1,-1,-1,-1,-1,6,9,12,6,12,12,6,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,8,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,6,9,-1
-1,-1,-1,9,8,8,10,6,6,-1,-1,-1,-1,-1,-1,-1,-1,6,6,12,9,9,6,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,6,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,6,8,-1
-1,-1,9,8,6,10,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,7,7,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,8,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,6,8
-1,-1,9,8,10,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,7,7,9,-1,-1,-1,-1,-1,-1,-1,9,9,9,-1,8,6,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,6,8
