1
20000-0
event,
Free
13,15
-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1
-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1
-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1
-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1
-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1
-1,-1,1,4,2,2,3,4,4,3,1,-1,-1
-1,1,4,2,2,3,3,3,4,4,3,1,-1
1,4,2,2,2,3,3,3,4,4,4,3,1
1,4,2,2,3,3,3,3,3,4,4,3,0
1,4,2,2,3,3,3,3,3,4,4,3,0
1,4,2,2,3,3,3,3,3,4,4,3,0
-1,1,2,2,2,3,3,3,4,4,4,0,-1
-1,-1,1,2,2,3,3,3,4,4,0,-1,-1
-1,-1,-1,1,0,0,0,0,0,0,-1,-1,-1
0.7843138,0.6784314,0.4862745
0.4666667,0.3960785,0.1960784
1,0.1647059,0.1647059
1,0.9137256,0.2627451
0.4588236,0.6196079,1
