1
10004-37
animal,
Free
53,58
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,14,12,12,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,15,15,15,15,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,15,15,9,7,0,9,15,-1,-1,15,15,15,15,15,15,15,15,-1,-1,-1,-1,15,13,7,9,9,9,9,15,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,15,15,15,1,4,0,0,15,-1,15,4,4,4,4,4,14,14,4,15,-1,-1,15,11,5,3,0,0,0,11,4,4,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,15,6,6,13,1,0,0,15,15,0,0,0,0,0,13,1,0,0,15,-1,-1,15,6,6,0,0,0,0,0,0,0,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,15,6,6,12,0,0,0,15,13,0,0,0,0,0,12,0,0,0,15,-1,-1,15,6,5,0,0,0,0,0,3,3,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,15,6,6,0,0,0,0,15,6,3,0,0,0,0,0,0,0,7,15,-1,-1,15,6,5,0,0,0,1,7,15,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,15,6,6,0,0,0,0,4,14,6,4,5,0,0,15,15,15,15,-1,-1,-1,15,6,6,0,1,1,11,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,15,6,6,0,0,0,0,0,1,14,14,6,5,15,-1,-1,-1,-1,-1,-1,-1,15,6,6,0,0,0,15,-1,-1,-1,-1,-1,-1,-1,15,15,15,15,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,15,6,6,0,0,0,0,0,0,0,0,15,15,-1,-1,15,15,15,15,15,15,15,15,15,6,0,0,15,-1,-1,-1,-1,-1,15,15,6,6,6,15,15,-1,-1,-1,-1,-1,-1,-1
