1
10004-58
animal,
Free
100,100
0,0,19,2,2,3,3,12,11,9,9,10,11,11,9,8,8,9,8,8,8,8,9,9,7,8,8,8,7,9,9,8,6,13,14,26,26,26,25,3,5,6,6,6,6,3,25,26,25,25,26,26,26,26,3,3,3,2,6,7,7,6,6,6,6,4,4,4,16,16,7,8,7,10,9,8,10,12,10,8,9,6,7,9,9,8,8,10,9,9,4,10,12,12,9,8,11,12,12,10
2,3,3,3,3,13,13,13,11,10,9,10,12,12,10,8,9,9,9,8,8,8,9,8,8,7,8,8,8,8,9,9,10,14,24,26,26,25,3,5,7,6,6,6,2,26,25,25,25,25,25,25,26,25,3,3,26,3,5,7,7,7,7,6,5,6,6,9,9,2,2,9,8,10,9,8,10,10,9,9,9,7,8,10,11,8,8,9,10,11,10,8,12,13,8,8,11,12,12,11
5,3,3,3,13,13,12,12,11,10,9,9,11,12,11,9,9,10,9,8,9,8,9,8,8,7,7,8,9,10,10,10,13,26,3,3,25,3,6,6,7,7,5,3,26,25,25,25,24,25,25,25,25,25,25,25,25,26,3,5,6,7,6,6,2,2,8,9,9,8,7,6,8,8,8,7,10,9,9,9,9,9,7,7,11,9,9,9,10,17,7,9,13,11,8,8,10,12,15,12
5,4,13,13,13,13,12,12,12,9,8,8,9,10,10,10,9,9,9,9,8,9,9,8,7,4,10,12,12,15,11,5,26,13,3,25,25,3,6,6,2,3,25,25,25,25,25,25,25,24,25,25,24,24,24,25,25,25,25,25,3,5,6,6,5,2,7,8,9,9,9,8,7,8,8,8,7,9,9,9,8,8,8,7,11,12,9,9,4,17,9,4,11,9,8,11,10,10,12,12
10,10,12,12,12,12,12,12,12,10,8,8,8,6,4,4,4,9,9,9,8,9,9,8,11,12,12,12,12,11,8,2,25,16,13,24,25,2,3,3,25,24,24,24,24,25,25,25,25,24,24,24,24,25,25,24,24,25,24,25,25,25,2,5,6,7,7,8,9,9,9,9,9,8,9,9,8,9,9,8,8,8,9,10,10,10,9,9,4,12,12,12,11,10,10,12,11,9,10,13
9,10,11,12,12,12,12,12,12,10,9,9,9,10,11,12,12,11,11,11,10,9,9,9,11,12,12,11,9,8,7,16,26,16,17,13,3,3,25,24,24,24,25,25,24,25,25,25,25,25,24,24,24,25,25,24,24,25,25,25,25,25,25,3,3,6,7,9,6,6,10,10,11,10,10,9,8,8,8,8,10,11,9,6,5,9,9,7,4,4,4,10,11,10,9,10,10,9,10,10
9,9,10,13,16,16,16,13,12,11,10,10,11,11,10,10,12,12,12,12,12,11,10,6,4,13,12,10,8,8,4,26,16,17,18,4,4,26,24,24,24,25,25,24,25,24,24,24,24,24,24,24,24,24,24,24,25,25,25,24,25,25,24,24,25,3,7,6,9,9,10,8,10,10,9,9,8,8,9,9,10,4,8,3,10,9,8,9,4,7,8,10,10,10,10,11,12,9,11,10
9,9,9,4,17,13,4,4,11,11,12,12,11,11,10,10,12,12,14,12,12,12,12,10,6,10,12,12,11,4,17,26,16,18,7,3,25,25,25,24,24,25,24,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,24,25,25,24,24,3,7,7,8,8,9,9,9,9,10,10,9,9,9,9,11,10,5,5,9,9,9,10,11,7,9,10,11,12,10,10,4,10,11,10
9,9,9,10,12,4,11,11,11,10,11,10,10,10,11,11,12,12,12,12,12,12,12,12,11,9,9,10,11,12,12,2,17,1,5,3,25,24,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,24,24,24,25,5,7,6,8,8,10,9,4,12,10,10,4,13,15,12,10,2,9,12,10,9,10,12,12,12,9,11,12,10,10,12,12,10,9
9,9,10,11,12,12,12,11,11,11,11,12,11,11,12,12,12,12,12,12,12,12,12,12,12,12,10,9,10,12,12,10,1,1,2,25,25,24,24,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,24,25,26,3,6,7,8,8,10,11,12,12,15,13,12,12,10,9,13,5,12,15,10,8,10,12,15,12,10,10,11,10,11,11,9,10,8
9,10,10,10,11,11,10,9,10,11,12,12,13,10,11,13,12,12,10,9,10,11,12,12,12,12,11,9,6,11,12,4,4,12,13,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,4,9,9,11,12,12,15,15,15,12,10,9,9,4,12,12,4,6,7,9,6,17,12,11,11,9,9,10,11,10,8,11,8
8,9,8,9,9,8,8,9,9,9,9,10,4,5,10,12,12,12,12,4,9,9,10,10,11,11,10,9,7,10,12,13,13,12,14,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,14,13,11,12,12,14,11,10,14,15,12,10,10,12,12,12,4,6,7,7,7,7,6,4,9,9,11,10,10,11,11,12,10,10,9
8,8,8,9,9,8,8,8,9,8,8,8,11,10,9,11,12,14,12,12,2,5,4,10,9,10,12,11,10,11,12,15,13,26,24,24,24,25,3,3,3,26,25,25,24,24,25,25,25,25,26,26,26,26,25,24,24,24,24,24,25,25,25,14,13,13,12,16,12,10,6,4,13,9,8,8,8,12,15,10,10,4,4,6,7,6,6,5,5,9,9,10,12,11,12,12,15,12,11,12
8,9,11,9,10,9,9,9,9,9,9,9,10,9,9,11,12,12,12,14,14,12,12,12,11,12,15,15,12,13,13,12,4,2,24,25,3,6,8,8,7,1,1,1,1,0,0,0,0,1,2,18,2,2,2,2,2,3,3,3,2,4,13,3,5,5,18,17,4,10,9,9,9,8,8,6,15,15,9,8,7,7,7,6,6,6,6,6,6,10,10,10,10,12,15,15,12,12,12,11
