1
10003-32
festival,
Ads
24,21
-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,1,2,2,2,2,3,4,4,4,4,3,3,3,1,1,1,1,1,-1,-1,-1
-1,-1,-1,-1,1,2,2,2,3,4,5,5,5,3,4,4,4,1,1,1,-1,-1,-1,-1
-1,-1,-1,-1,-1,1,2,2,4,4,5,6,5,4,5,5,5,1,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,2,3,3,4,5,5,4,4,5,6,5,1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,2,2,3,4,4,4,4,4,3,3,5,5,1,1,0,0,-1,-1,-1,-1
-1,-1,2,2,2,2,3,4,5,5,5,3,5,5,5,3,1,1,1,0,0,0,-1,-1
2,2,2,2,2,2,3,4,5,6,5,4,5,6,5,4,4,1,1,1,1,0,0,0
-1,-1,0,1,1,1,2,4,5,5,3,3,5,5,5,5,5,2,2,2,2,1,-1,-1
-1,-1,-1,-1,0,1,1,2,3,4,4,4,4,3,5,6,5,2,2,1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,1,2,3,4,5,5,5,4,5,5,2,1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,0,1,1,3,4,5,6,5,2,2,2,2,2,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,0,1,1,2,4,5,5,1,1,2,2,2,2,2,1,-1,-1,-1,-1
-1,-1,-1,0,0,0,0,2,2,2,2,2,1,1,1,2,2,2,2,2,1,-1,-1,-1
-1,-1,-1,-1,-1,-1,2,2,1,1,2,2,1,1,0,0,1,1,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,2,1,1,-1,2,2,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,1,1,-1,-1,2,2,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,2,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.2313726,0.5176471,0.2745098
0.145098,0.3607843,0.2588235
0.09411766,0.2313726,0.2392157
0.4078432,0.2196079,0.4235294
0.6313726,0.145098,0.2
0.8901961,0.227451,0.2666667
0.9568628,0.4313726,0.4509804
