1
10003-8
festival,
Free
11,27
-1,-1,-1,-1,0,0,0,-1,-1,-1,-1
-1,-1,-1,-1,1,1,1,-1,-1,-1,-1
-1,-1,-1,-1,2,2,1,-1,-1,-1,-1
-1,-1,-1,-1,2,1,1,-1,-1,-1,-1
-1,0,-1,-1,0,0,0,-1,-1,-1,-1
0,2,1,-1,-1,0,-1,-1,-1,-1,-1
-1,2,2,1,-1,3,-1,-1,-1,0,-1
-1,-1,2,2,0,3,-1,-1,2,2,0
-1,-1,-1,0,3,-1,-1,2,2,1,-1
-1,0,-1,-1,3,-1,0,2,1,-1,-1
0,2,1,-1,-1,3,-1,0,-1,-1,-1
-1,2,2,1,-1,-1,3,-1,-1,0,-1
-1,-1,2,2,0,3,-1,-1,2,2,0
-1,-1,-1,0,3,-1,-1,2,2,1,-1
-1,0,-1,-1,3,-1,0,2,1,-1,-1
0,2,1,-1,-1,3,-1,0,-1,-1,-1
-1,2,2,1,-1,-1,3,-1,-1,0,-1
-1,-1,2,2,0,3,-1,-1,2,2,0
-1,-1,-1,0,3,-1,-1,2,2,1,-1
-1,0,-1,-1,3,-1,0,2,1,-1,-1
0,2,1,-1,-1,3,-1,0,-1,-1,-1
-1,2,2,1,-1,-1,3,-1,-1,-1,-1
-1,-1,2,2,0,3,-1,-1,-1,-1,-1
-1,-1,-1,0,3,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1
1,0.6862745,0.2039216
0.8000001,0.07450981,0.1176471
0.9333334,0.0509804,0.07058824
0.4078432,0.1921569,0.1058824
